JD-2440000,RV [m/s],Error [m/s]
18764.477090852248,3.1388512,0.3347096
18764.479063608072,1.0351092,0.33151108
18764.480994773898,3.0741606,0.32407796
18771.41785443625,-1.9270606,0.34153616
18771.419623219263,-2.6880207,0.35748777
18771.421276222347,-2.1625404,0.30707213
18772.474891451588,2.5444226,0.30203265
18772.47754459909,0.0,0.29498795
18772.48015896685,0.5198271,0.30961847
18773.457215702612,0.034159027,0.30831102
18773.46347989951,-0.10312814,0.35785246
18773.471931358377,0.4401352,0.29363775
18778.425407074334,0.06623378,0.36409575
18778.43391455291,-0.9305459,0.3293609
18778.44017503751,0.16561499,0.30580407
18780.39287994725,1.5061034,0.38932195
18780.397426684693,-1.1235814,0.3057821
18780.402392223114,-1.0141265,0.28387785
18781.44902167603,2.0420713,0.3069136
18781.45260148131,1.9777026,0.31673193
18781.455563861433,-0.71544635,0.3456733
18785.434371853073,-1.4765499,0.2828661
18785.436662666223,3.241049,0.325504
18785.438817518858,-1.5237516,0.29519624
18785.440894216517,1.0686061,0.29801765
18785.4430499539,0.7227231,0.31030083
18788.470105941968,-1.9536005,0.29889947
18788.47124206897,0.9117172,0.32336175
18788.472249096078,0.080180764,0.3101014
18788.473232803713,-0.9957732,0.29044163
18794.42518150308,0.90192133,0.32107118
18794.42672714663,0.71633095,0.3074544
18794.428304819703,3.6595345,0.32831118
18794.429619788483,0.8242829,0.33957806
18795.421382837303,-0.65275383,0.3003567
18795.42353786453,-0.3064742,0.3189116
18795.425839392738,0.8116388,0.32823396
18795.42837467166,-0.75930053,0.28602505
18796.362558603098,0.0,0.32707462
18796.36460067368,-0.6944549,0.32205456
18796.366167079643,2.0183892,0.31358755
18796.36763095906,-0.5151882,0.3217267
18797.4047222577,2.4258003,0.3258631
18797.405684233658,0.6363335,0.33855858
18797.406649023767,1.5788629,0.349299
18797.40757143317,-0.65879333,0.3080309
18802.48604141699,1.5696026,0.3254363
18802.488634240282,2.1069493,0.30789098
18802.492564494067,0.7230083,0.3316518
18802.497630976482,0.5159377,0.32209674
18827.37246194516,-0.6251438,0.29734275
18827.375820570312,0.042197887,0.30091047
18827.37923141122,-0.08928245,0.30565232
18827.382853521944,-1.1834618,0.31044006
18828.31636106858,2.8676777,0.30425882
18828.31872099881,1.0664936,0.29521993
18828.320828783413,-0.938938,0.3031094
18829.331153320592,-1.7852391,0.30667037
18829.3335664052,-1.339612,0.31837088
18829.33575903903,-0.69936126,0.31339127
18829.337643483363,-1.4463655,0.30154714
18833.357150454947,0.17455989,0.2944273
18833.361985147392,-2.5610945,0.30249953
18833.366941762317,-1.4948114,0.305818
18833.371630940528,-0.9954124,0.3066114
18850.293067241,-1.5467215,0.33826363
18850.29605050802,-1.8207281,0.33134308
18850.29939917601,-1.4390807,0.33422583
18850.30322168186,0.055270918,0.32273343
18852.1944620886,1.494881,0.3365296
18852.195740617113,-1.3228014,0.31280333
18852.197063733933,-0.28511128,0.32244498
18852.19850634785,0.9442115,0.33000985
18853.31911322102,1.5556136,0.32024133
18853.32055702478,-0.31260815,0.29522017
18853.322087842498,-3.0843265,0.3003436
18853.323532291608,0.5898912,0.31731987
18859.320954480478,-2.6407123,0.27031446
18859.323134538587,-0.61400384,0.31138414
18859.32522411729,0.09456839,0.31192493
18859.327354465982,-0.71979535,0.30925414
18861.32876474489,-2.7426138,0.3388568
18861.376073521773,-0.33328852,0.3348165
18861.380245212968,-0.73061913,0.31405282
18861.383970727242,-2.140478,0.32142422
18861.38698193295,-0.49959868,0.30474085
18872.196148749077,0.46253192,0.30727574
18872.198058093578,1.2050221,0.3140823
18872.199956697783,0.33875704,0.33549118
18872.20198651417,0.3532483,0.32506824
18881.1868427223,-3.4116023,0.31846634
18881.18898162753,-0.57794374,0.29333398
18881.19097021305,-0.7553949,0.29874912
18881.192928216653,-0.20528607,0.31380412
18881.195438690032,-1.0041788,0.30538586
18884.18187593056,0.36463863,0.30334246
18884.186382923886,0.14242531,0.3033621
18884.191381234603,-1.2290016,0.29148182
18884.197330989773,-0.97984016,0.3120343
18907.107739456587,0.24635597,0.37567547
18907.11679946643,2.3764787,0.5805345
18907.12729441111,0.91498923,0.33477587
18908.155859363687,0.8704189,0.30945405
18908.159013070013,-0.9128228,0.3138667
18908.161566719587,-0.49457175,0.29406992
18913.09835537213,-1.9810804,0.33208808
18913.09977017746,1.1196837,0.33954555
18913.10118137936,-0.27373666,0.31337747
19064.47349934953,-2.0682611,0.4382864
19064.477997408583,-0.41317084,0.4193277
19065.469055669273,-0.59859186,0.36448723
19065.474436031232,0.0,0.35578108
19074.48290011153,2.0073907,0.44638935
19074.485291249403,2.384854,0.47142857
